ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000957.SZ,20240814,10.64,11.09,10.62,10.92,10.74,0.18,1.676,508206.0,555373.534
000957.SZ,20240813,10.67,10.76,10.37,10.74,10.68,0.06,0.5618,403032.58,424918.623
000957.SZ,20240812,10.9,10.97,10.55,10.68,10.84,-0.16,-1.476,322669.0,346165.308
000957.SZ,20240809,10.85,11.08,10.81,10.84,10.76,0.08,0.7435,346133.48,377738.176
000957.SZ,20240808,10.85,11.04,10.59,10.76,11.0,-0.24,-2.1818,473901.47,510762.198
000957.SZ,20240807,11.04,11.28,10.97,11.0,11.14,-0.14,-1.2567,450498.49,500554.065
000957.SZ,20240806,11.3,11.43,10.74,11.14,11.04,0.1,0.9058,606639.79,668014.617
000957.SZ,20240805,11.96,12.06,11.0,11.04,12.2,-1.16,-9.5082,939059.62,1080415.357
000957.SZ,20240802,12.07,12.69,11.73,12.2,12.43,-0.23,-1.8504,1056977.45,1293000.985
000957.SZ,20240801,11.99,12.8,11.9,12.43,12.08,0.35,2.8974,1302682.46,1611871.663
000957.SZ,20240731,12.01,12.5,11.67,12.08,12.53,-0.45,-3.5914,1328525.76,1603904.147
000957.SZ,20240730,12.67,13.5,11.79,12.53,12.31,0.22,1.7872,1855992.43,2309878.677
000957.SZ,20240729,11.54,12.31,11.54,12.31,11.19,1.12,10.0089,997631.74,1200770.155
000957.SZ,20240726,10.5,11.19,10.48,11.19,10.17,1.02,10.0295,1066942.27,1176658.849
000957.SZ,20240725,10.08,10.55,9.98,10.17,10.29,-0.12,-1.1662,412607.52,423750.387
000957.SZ,20240724,10.85,10.92,10.04,10.29,11.1,-0.81,-7.2973,658677.84,689927.237
000957.SZ,20240723,10.79,11.45,10.62,11.1,10.72,0.38,3.5448,818782.53,912378.28
000957.SZ,20240722,10.3,10.94,10.23,10.72,10.5,0.22,2.0952,429782.78,459158.12
000957.SZ,20240719,10.9,11.38,10.5,10.5,10.95,-0.45,-4.1096,601262.77,659264.03
000957.SZ,20240718,10.95,11.08,10.5,10.95,11.23,-0.28,-2.4933,442549.33,481373.231
000957.SZ,20240717,11.28,11.46,11.12,11.23,11.54,-0.31,-2.6863,614950.64,693636.416
000957.SZ,20240716,10.77,11.6,10.76,11.54,11.03,0.51,4.6238,889753.67,1010693.689
000957.SZ,20240715,10.9,11.66,10.86,11.03,10.87,0.16,1.4719,805440.19,905632.259
000957.SZ,20240712,10.93,11.28,10.7,10.87,11.01,-0.14,-1.2716,671948.16,739563.688
000957.SZ,20240711,10.79,11.06,10.69,11.01,10.7,0.31,2.8972,699272.27,762367.171
000957.SZ,20240710,10.45,10.95,10.44,10.7,10.44,0.26,2.4904,788922.74,847686.085
000957.SZ,20240709,10.14,10.49,9.8,10.44,10.16,0.28,2.7559,523975.99,535970.35
000957.SZ,20240708,10.37,10.52,10.16,10.16,10.48,-0.32,-3.0534,376524.29,388158.391
000957.SZ,20240705,10.33,10.65,10.0,10.48,10.49,-0.01,-0.0953,572858.08,589933.77
000957.SZ,20240704,10.22,10.78,9.98,10.49,10.17,0.32,3.1465,521839.95,542692.147
000957.SZ,20240703,10.41,10.45,10.14,10.17,10.39,-0.22,-2.1174,248503.26,255211.92
000957.SZ,20240702,10.63,10.7,10.34,10.39,10.62,-0.23,-2.1657,352106.0,369389.244
000957.SZ,20240701,10.41,10.73,10.23,10.62,10.52,0.1,0.9506,550816.32,575838.226
000957.SZ,20240628,9.8,10.87,9.74,10.52,9.88,0.64,6.4777,742574.26,785170.13
000957.SZ,20240627,10.46,10.46,9.87,9.88,10.61,-0.73,-6.8803,453517.48,458796.716
000957.SZ,20240626,10.28,10.68,10.18,10.61,10.48,0.13,1.2405,423581.22,441201.442
000957.SZ,20240625,10.47,10.84,10.32,10.48,10.43,0.05,0.4794,462870.51,491190.704
000957.SZ,20240624,10.75,11.04,10.38,10.46,10.89,-0.43,-3.9486,497648.91,529110.408
000957.SZ,20240621,10.75,11.25,10.61,10.89,10.75,0.14,1.3023,957791.0,1053172.297
000957.SZ,20240620,9.75,10.75,9.54,10.75,9.77,0.98,10.0307,794104.42,822218.9
000957.SZ,20240619,10.07,10.12,9.76,9.77,10.07,-0.3,-2.9791,228117.74,225888.722
000957.SZ,20240618,9.8,10.17,9.68,10.07,9.9,0.17,1.7172,311292.77,309882.675
000957.SZ,20240617,9.74,10.05,9.67,9.9,9.74,0.16,1.6427,244010.87,242098.952
000957.SZ,20240614,9.7,9.77,9.57,9.74,9.73,0.01,0.1028,143021.44,138805.675
000957.SZ,20240613,9.86,10.08,9.68,9.73,10.01,-0.28,-2.7972,253597.0,249656.871
000957.SZ,20240612,9.72,10.19,9.69,10.01,9.8,0.21,2.1429,343998.97,344814.612
000957.SZ,20240611,9.56,9.95,9.5,9.8,9.79,0.01,0.1021,270784.97,262834.871
000957.SZ,20240607,9.45,10.0,9.16,9.79,9.45,0.34,3.5979,394211.94,376338.287
000957.SZ,20240606,9.62,9.76,9.28,9.45,9.87,-0.42,-4.2553,365697.52,347327.247
000957.SZ,20240605,9.95,10.24,9.84,9.87,9.83,0.04,0.4069,355199.88,356373.694
000957.SZ,20240604,9.84,9.98,9.62,9.83,9.89,-0.06,-0.6067,310544.89,302911.497
000957.SZ,20240603,9.96,10.2,9.77,9.89,10.09,-0.2,-1.9822,317425.68,315549.689
000957.SZ,20240531,10.45,10.68,10.05,10.09,10.7,-0.61,-5.7009,540437.57,557432.432
000957.SZ,20240530,10.45,11.17,10.41,10.7,10.56,0.14,1.3258,525034.57,569542.711
000957.SZ,20240529,10.73,10.9,10.55,10.56,10.94,-0.38,-3.4735,426828.89,454353.306
000957.SZ,20240528,10.75,11.38,10.45,10.94,10.94,0.0,0.0,608539.14,658250.476
000957.SZ,20240527,10.55,11.22,10.31,10.94,10.53,0.41,3.8936,541850.44,589350.257
